contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
NVDA260320P00210000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,210.0,27.75,28.0,28.25,27.8,182.48,,27.52,0.48,14,12,7367,136,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,28.0,1.150811047786059,0.14046695274133625,0.017857142857142856,0.45903504672367634,27.99999999999997,-2.842170943040401e-14
NVDA260320P00212500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,212.5,30.0,30.275,30.55,30.6,182.48,,30.02,0.255,13,14,82,11,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,30.275,1.1645111793073215,0.15230141038833905,0.01816680429397195,0.45108918463537756,30.275000000000034,3.552713678800501e-14
NVDA260320P00215000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,215.0,32.35,32.65,32.95,32.58,182.48,,32.52,0.13,45,11,129,3,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,32.65,1.178211310828584,0.16399745015153033,0.01837672281776421,0.45356754450180886,32.649999999999864,-1.3500311979441904e-13
NVDA260320P00217500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,217.5,34.85,35.2,35.55,35.44,182.48,,35.02,0.18,20,13,5,11,True,2026-02-27 14:30:00,2026-03-02 21:00:00,,,,,,35.2,1.1919114423498467,0.1755582725526063,0.019886363636363515,0.48978950541474564,35.199999999942946,-5.7056581681536045e-11
NVDA260320P00220000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,220.0,37.3,37.65,38.0,37.66,182.48,,37.52,0.13,52,52,3651,258,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,37.65,1.2056115738711093,0.18698696837622905,0.018592297476759705,0.5044633779861534,37.65000000001049,1.049471620717668e-11
NVDA260320C00130000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,130.0,50.4,50.625,50.85,50.45,180.05,,50.05,0.575,34,23,25265,76,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,50.625,0.7220216606498194,-0.3257001396393019,0.008888888888888944,0.8416367836854085,50.624999999945985,-5.4015458772482816e-11
NVDA260320C00135000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,135.0,45.45,45.725,46.0,45.55,180.05,,45.05,0.675,23,13,26600,24,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,45.725,0.7497917245209663,-0.2879598116564549,0.012028430836522627,0.7899060008022385,45.7250000000751,7.509726174248499e-11
NVDA260320C00140000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,140.0,40.7,40.925,41.15,40.83,180.05,,40.05,0.875,13,13,24991,62,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,40.925,0.7775617883921132,-0.25159216748558005,0.01099572388515567,0.7577217522785045,40.92499999999998,-1.4210854715202004e-14
NVDA260320C00145000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,145.0,35.9,36.125,36.35,36.22,180.05,,35.05,1.075,15,13,26501,13,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,36.125,0.8053318522632602,-0.21650084767430983,0.012456747404844369,0.7123091991092718,36.124999999908226,-9.177369975077454e-11
NVDA260320C00150000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,150.0,31.35,31.425,31.5,31.6,180.05,,30.05,1.375,20,11,43037,303,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,31.425,0.8331019161344071,-0.1825992959986285,0.004773269689737424,0.6736980875843496,31.424999999999983,-1.7763568394002505e-14
NVDA260320C00155000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,155.0,26.8,26.875,26.95,26.87,180.05,,25.05,1.825,5,28,15180,193,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,26.875,0.860871980005554,-0.14980947317563767,0.0055813953488371565,0.6418012341042205,26.874999999951825,-4.817479748453479e-11
NVDA260320C00160000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,160.0,22.35,22.425,22.5,22.29,180.05,,20.05,2.375,2,23,62703,309,True,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,22.425,0.8886420438767009,-0.11806077486105737,0.006688963210702278,0.6042265923931406,22.42500000000905,9.048761739904876e-12
